"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3a","0.01","0.0001","5000","2696","2651","0.5392921415716857","0.5302939412117577","0.9833147942157953","0.5033293341331734","-0.0002113178713045727","0","0"
"fig3a","0.01","0.00011659144011798323","5000","2691","2706","0.5382923415316937","0.5412917416516697","1.0","0.514377124575085","-0.0002463774264640506","1","1"
"fig3a","0.01","0.00013593563908785255","5000","2709","2758","0.5418916216756648","0.5516896620675865","1.0","0.5245950809838033","-0.0002872534626305878","2","2"
"fig3a","0.01","0.00015848931924611142","5000","2712","2679","0.5424915016996601","0.5358928214357128","0.9878363435311462","0.5087682463507298","-0.00033491087350512316","3","3"
"fig3a","0.01","0.00018478497974222906","5000","2653","2626","0.5306938612277544","0.5252949410117976","0.9898266767143934","0.4987602479504099","-0.00039047458889740483","4","4"
"fig3a","0.01","0.00021544346900318845","5000","2661","2710","0.5322935412917417","0.5420915816836632","1.0","0.5154769046190761","-0.0004552561114223863","5","5"
"fig3a","0.01","0.00025118864315095795","5000","2693","2662","0.5386922615476905","0.53249350129974","0.9884929472902747","0.5055588882223555","-0.0005307844432422826","6","6"
"fig3a","0.01","0.00029286445646252375","5000","2689","2652","0.5378924215156968","0.530493901219756","0.9862453531598513","0.5035992801439712","-0.0006188421397155253","7","7"
"fig3a","0.01","0.0003414548873833601","5000","2755","2793","0.5510897820435913","0.5586882623475304","1.0","0.5311337732453508","-0.0007215073297288654","8","8"
"fig3a","0.01","0.00039810717055349735","5000","2732","2734","0.5464907018596281","0.5468906218756249","1.0","0.5195660867826435","-0.0008412026912765214","9","9"
"fig3a","0.01","0.00046415888336127773","5000","2733","2728","0.5466906618676265","0.5456908618276345","0.9981711777615215","0.5183563287342532","-0.000980752531518192","10","10"
"fig3a","0.01","0.0005411695265464637","5000","2730","2692","0.5460907818436312","0.5384923015396921","0.9860856829000367","0.5111877624475105","-0.0011434493040951565","11","11"
"fig3a","0.01","0.000630957344480193","5000","2724","2732","0.5448910217956409","0.5464907018596281","1.0","0.519246150769846","-0.0013331311191961959","12","12"
"fig3a","0.01","0.0007356422544596414","5000","2706","2692","0.5412917416516697","0.5384923015396921","0.9948282231252308","0.5114277144571086","-0.0015542720601899873","13","13"
